school,name,period,sport_code,coachid,sport
Murray State University,"Acreman, Beth",Aug 2005 - Feb 2014,WSO,5794,Women's Soccer
Binghamton University,"Acuff, Annette",Jun 2001 -,MCC,1797,Men's Cross Country
Binghamton University,"Acuff, Annette",Jun 2001 -,WCC,244,Women's Cross Country
Loyola Marymount University,"Adair, Bonnie",Oct 1997 -,WSW,22136,Women's Swimming and Diving
Virginia Polytechnic Institute and State University,"Adair, Charles",Jan 2011 -,WSO,28913,Women's Soccer
College of Charleston (South Carolina),"Adair, Natasha",Apr 2012 - May 2014,WBB,30719,Women's Basketball
Georgetown University,"Adair, Natasha",May 2014 - Jul 2017,WBB,38087,Women's Basketball
University of Delaware,"Adair, Natasha",Jul 2017 -,WBB,46754,Women's Basketball
Clemson University,"Adair, Trevor",Feb 1995 - Jul 2009,MSO,5498,Men's Soccer
University of Southern California,"Adam, Joshua",Jul 2017 -,WCR,47361,Women's Rowing
Villanova University,"Adams, Brad",Aug 2007 -,MTE,9774,Men's Tennis
"University of California, Davis","Adams, Carissa",Aug 2007 - Jul 2010,WCR,9245,Women's Rowing
Villanova University,"Adams, Carissa",Oct 2015 -,WCR,41253,Women's Rowing
Boston University,"Adams, Carl",Aug 1981 - Sep 2014,MWR,2109,Men's Wrestling
Middle Tennessee State University,"Adams, Christy",Feb 2008 -,WGO,7119,Women's Golf
Arkansas State University,"Adams, Christy",Aug 2002 - Feb 2008,WGO,8933,Women's Golf
"University of California, Los Angeles","Adams, Gary",Aug 1979 - Jul 2004,MBA,21854,Baseball
Valparaiso University,"Adams, Jay",Aug 2007 - Apr 2009,WTE,4566,Women's Tennis
Loyola University Maryland,"Adams, Jen",Aug 2008 -,WLA,3722,Women's Lacrosse
Texas Southern University,"Adams, Jocelyn",Jul 2011 -,WVB,26658,Women's Volleyball
Wichita State University,"Adams, Jody",Apr 2008 - Apr 2017,WBB,9713,Women's Basketball
Murray State University,"Adams, Jody",Apr 2007 - Apr 2008,WBB,1355,Women's Basketball
University of Texas at El Paso,"Adams, Keitha",May 2001 - Apr 2017,WBB,7590,Women's Basketball
Wichita State University,"Adams, Keitha",May 2017 -,WBB,46359,Women's Basketball
"University of California, Irvine","Adams, Mark",Aug 2003 - Aug 2004,WBB,9692,Women's Basketball
Rice University,"Adams, Nicky",Oct 2010 -,WSO,25795,Women's Soccer
Valparaiso University,"Adams, Stacy",Aug 2005 - Mar 2010,MFB,9352,Football
Howard University,"Adams, Tennille",Jul 2013 - Feb 2016,WBB,34994,Women's Basketball
Saint Joseph's University,"Adams, Terri",Oct 2006 - Feb 2018,WSB,5504,Softball
Hofstra University,"Adamski, Alison",Feb 2011 - Feb 2013,WTE,27883,Women's Tennis
Temple University,"Addazio, Steve",Jan 2011 - Dec 2012,MFB,27156,Football
Boston College,"Addazio, Steve",Jan 2013 -,MFB,33300,Football
Presbyterian College,"Addison, Thomas",Sep 2004 - Aug 2014,WGO,2364,Women's Golf
Presbyterian College,"Addison, Thomas",Sep 2003 -,MGO,9751,Men's Golf
Marquette University,"Adlard, Steve",Jan 1992 - Dec 2005,MSO,918,Men's Soccer
"University of Hawaii, Manoa","Adleta, Ashley",Oct 2004 - Jul 2008,WGO,7877,Women's Golf
Northern Arizona University,"Adras, Mike",Aug 2003 - Jan 2012,MBB,3696,Men's Basketball
Norfolk State University,"Adrian, Pete",Aug 2004 - Feb 2015,MFB,461,Football
University of Dayton,"Affolder, Matt",Feb 2013 - Jan 2014,WVB,34085,Women's Volleyball
The University of North Carolina at Greensboro,"Agee, Lynne",Aug 2003 - Jul 2011,WBB,22137,Women's Basketball
Brown University,"Agel, Jesse",Jul 2008 - Jun 2012,MBB,181,Men's Basketball
South Dakota State University,"Aggabao, Kim",Aug 2011 - Aug 2013,WSB,30763,Softball
Loyola Marymount University,"Aggers, Steve",May 2000 - Apr 2005,MBB,7227,Men's Basketball
Seattle University,"Agoos, Brad",Aug 2006 - Feb 2012,MSO,7253,Men's Soccer
Saint Peter's University,"Agrest, Joe",Sep 2008 - Jul 2011,WVB,3790,Women's Volleyball
Liberty University,"Aguilar, Alejandra",Aug 2005 - Aug 2006,WTE,1554,Women's Tennis
Liberty University,"Aguilar, Alejandra",Aug 2005 - Aug 2006,MTE,9792,Men's Tennis
University of Texas at El Paso,"Aguilar, Victor",Sep 2010 - Aug 2012,WTE,26425,Women's Tennis
"University of Hawaii, Manoa","Ah Mow-Santos, Robyn",Mar 2017 -,WVB,46750,Women's Volleyball
Middle Tennessee State University,"Ahiers, Daniel",Jan 2016 - Jan 2017,WVB,42394,Women's Volleyball
Rider University,"Ahlquist, Emily",Sep 1999 - Mar 2011,WVB,5401,Women's Volleyball
Lipscomb University,"Aid, Jamie",Sep 2013 -,WTE,33788,Women's Tennis
Northeastern University,"Ainscough, Brian",Sep 2005 - Dec 2015,MSO,5122,Men's Soccer
"University of Maryland, College Park","Aird, Steve",Feb 2014 - Feb 2018,WVB,37517,Women's Volleyball
"University of Colorado, Boulder","Aiu, Pi¿i",Aug 2003 - Aug 2008,WVB,7433,Women's Volleyball
North Carolina A&T State University,"Akande, Richard",Nov 2014 - Sep 2016,MTE,39211,Men's Tennis
North Carolina A&T State University,"Akande, Richard",Nov 2014 - Sep 2016,WTE,39212,Women's Tennis
University of Idaho,"Akbar, Babar",Oct 2015 - Aug 2018,MTE,42083,Men's Tennis
University of Idaho,"Akbar, Babar",Oct 2016 -,WTE,45227,Women's Tennis
Norfolk State University,"Ake, Chris",Aug 2003 - Aug 2005,WSB,9673,Softball
University of North Texas,"Akers, Mike",Jun 2016 -,WGO,43653,Women's Golf
Texas State University,"Akers, Mike",Oct 2006 - Jun 2016,WGO,1358,Women's Golf
Eastern Illinois University,"Akers, Thomas",Jul 2010 - Sep 2018,WTO,25752,"Women's Track, Outdoor"
Eastern Illinois University,"Akers, Thomas",Jul 2010 - Sep 2018,MTI,25749,"Men's Track, Indoor"
Eastern Illinois University,"Akers, Thomas",Jul 2010 - Sep 2018,WTI,25751,"Women's Track, Indoor"
Eastern Illinois University,"Akers, Thomas",Jul 2010 - Aug 2011,WCC,25754,Women's Cross Country
Eastern Illinois University,"Akers, Thomas",Jul 2010 - Aug 2011,MCC,25753,Men's Cross Country
Eastern Illinois University,"Akers, Thomas",Sep 2009 - Sep 2018,MTO,25750,"Men's Track, Outdoor"
University of Idaho,"Akey, Robb",Jan 2007 - Nov 2012,MFB,8922,Football
"University of Nevada, Las Vegas","Alameda, Lonni",Aug 2003 - Aug 2008,WSB,1465,Softball
Florida State University,"Alameda, Lonni",Sep 2008 -,WSB,3449,Softball
Norfolk State University,"Albaugh, Dave",Jun 2016 -,WVB,43819,Women's Volleyball
College of William & Mary,"Albaugh, Jay",Aug 2003 -,WGO,5395,Women's Golf
College of William & Mary,"Albaugh, Jay",Aug 2003 -,MGO,5949,Men's Golf
University of Richmond,"Albaugh, Leighann",Aug 2005 - Apr 2009,WGO,3034,Women's Golf
U.S. Military Academy,"Alberici, Joe",Sep 2005 -,MLA,663,Men's Lacrosse
Fairfield University,"Albert, Andre",Aug 1997 - Jul 2007,WCR,24354,Women's Rowing
University of Louisville,"Albiero, Arthur",Sep 2003 -,WSW,7710,Women's Swimming and Diving
University of Louisville,"Albiero, Arthur",Sep 2003 -,MSW,1580,Men's Swimming and Diving
Montana State University-Bozeman,"Albrecht, Denise",Oct 2000 - Aug 2015,WTE,1082,Women's Tennis
University of New Hampshire,"Albrecht, Sarah",Sep 2012 -,WLA,30751,Women's Lacrosse
"University of Nevada, Reno","Albright, Jane",Jul 2008 - May 2017,WBB,507,Women's Basketball
Wichita State University,"Albright, Jane",May 2003 - Apr 2008,WBB,967,Women's Basketball
University of Richmond,"Albright, Peter",Aug 1995 - Feb 2018,WSO,7446,Women's Soccer
Florida Atlantic University,"Alcantara, Alex",Oct 2001 - Mar 2005,WTE,2092,Women's Tennis
Florida Atlantic University,"Alcantara, Alex",Oct 2001 - Mar 2005,MTE,4182,Men's Tennis
"University of Hawaii, Manoa","Alcon, Chanon",Aug 2005 - Feb 2006,WTE,25640,Women's Tennis
University of New Mexico,"Alday, Rich",Aug 1989 - Jul 2007,MBA,6497,Baseball
Liberty University,"Alder, Jeff",Aug 2003 -,MSO,6333,Men's Soccer
North Carolina A&T State University,"Alexander III, Cyrus",Jul 2013 - May 2016,MBB,34298,Men's Basketball
South Carolina State University,"Alexander III, Cyrus",May 2003 - May 2009,MBB,34297,Men's Basketball
Xavier University,"Alexander, Alvin",Jan 2005 - Jan 2010,WSO,3309,Women's Soccer
University of Detroit Mercy,"Alexander, Bacari",May 2016 - May 2018,MBB,43261,Men's Basketball
Appalachian State University,"Alexander, Brandi",May 2006 - Feb 2015,WFH,7916,Field Hockey
University of Florida,"Alexander, Buddy",Aug 2003 - Jul 2014,MGO,7468,Men's Golf
Stetson University,"Alexander, Casey",Jun 2011 - Jul 2013,MBB,28023,Men's Basketball
Lipscomb University,"Alexander, Casey",Jun 2013 -,MBB,33864,Men's Basketball
Stony Brook University,"Alexander, Dave",Aug 2003 - Jul 2012,WSW,1191,Women's Swimming and Diving
Stony Brook University,"Alexander, Dave",Aug 2003 - Jul 2012,MSW,4493,Men's Swimming and Diving
Eastern Michigan University,"Alexander, Jay",Sep 2008 - Jun 2014,MBA,2314,Baseball
Oregon State University,"Alexander, Rise",Aug 2003 - Jul 2014,WGO,7447,Women's Golf
The University of Texas Rio Grande Valley,"Alexander, Rise",Jul 2014 - Sep 2017,WGO,38583,Women's Golf
Jacksonville University,"Alexander, Terry",Sep 1990 - Jul 2013,MBA,4174,Baseball
Charleston Southern University,"Alexander, Travis",Aug 2003 - Aug 2006,WCC,990,Women's Cross Country
Charleston Southern University,"Alexander, Travis",Aug 2003 - Aug 2006,MCC,7107,Men's Cross Country
St. John's University (New York),"Alexander-Mozeak, Gemma",Aug 2003 - Aug 2005,WTE,9326,Women's Tennis
St. John's University (New York),"Alexander-Mozeak, Gemma",Sep 2008 - Mar 2012,WTE,1102,Women's Tennis
Jackson State University,"Alexis, Lois",Oct 2015 - Dec 2017,MTE,41576,Men's Tennis
Jackson State University,"Alexis, Lois",Oct 2015 - Dec 2017,WTE,41577,Women's Tennis
Hofstra University,"Alfano, Peter",May 2008 - Jul 2014,WCC,4417,Women's Cross Country
Hofstra University,"Alfano, Peter",May 2008 - Aug 2014,MCC,4542,Men's Cross Country
College of the Holy Cross,"Alfonso, Egetta",Aug 1998 -,WTO,3881,"Women's Track, Outdoor"
College of the Holy Cross,"Alfonso, Egetta",Aug 1998 -,WTI,294,"Women's Track, Indoor"
University of Iowa,"Alford, Steve",Sep 1999 - Jun 2007,MBB,32404,Men's Basketball
University of New Mexico,"Alford, Steve",Jun 2007 - May 2013,MBB,32405,Men's Basketball
"University of California, Los Angeles","Alford, Steve",May 2013 -,MBB,32406,Men's Basketball
"University of Tennessee, Knoxville","Alford-Sullivan, Beth",Jul 2014 -,WTI,36625,"Women's Track, Indoor"
Pennsylvania State University,"Alford-Sullivan, Beth",Aug 2006 - Jun 2014,MCC,1315,Men's Cross Country
Pennsylvania State University,"Alford-Sullivan, Beth",Sep 1999 - Jun 2014,WTI,5225,"Women's Track, Indoor"
"University of Tennessee, Knoxville","Alford-Sullivan, Beth",Jul 2014 -,WCC,36623,Women's Cross Country
"University of Tennessee, Knoxville","Alford-Sullivan, Beth",Jul 2014 -,MTI,36624,"Men's Track, Indoor"
"University of Tennessee, Knoxville","Alford-Sullivan, Beth",Jul 2014 -,MTO,36626,"Men's Track, Outdoor"
Pennsylvania State University,"Alford-Sullivan, Beth",Sep 1999 - Jun 2014,WTO,5573,"Women's Track, Outdoor"
Pennsylvania State University,"Alford-Sullivan, Beth",Aug 2006 - Jun 2014,MTI,4113,"Men's Track, Indoor"
Pennsylvania State University,"Alford-Sullivan, Beth",Sep 1999 - Jun 2014,WCC,275,Women's Cross Country
"University of Tennessee, Knoxville","Alford-Sullivan, Beth",Jul 2014 -,MCC,36622,Men's Cross Country
"University of Tennessee, Knoxville","Alford-Sullivan, Beth",Jul 2014 -,WTO,36627,"Women's Track, Outdoor"
Pennsylvania State University,"Alford-Sullivan, Beth",Aug 2006 - Jun 2014,MTO,6734,"Men's Track, Outdoor"
Saint Mary's College of California,"Alipaz, Lisa",Oct 1998 - Aug 2017,WTE,4465,Women's Tennis
Yale University,"Allain, Keith",Aug 2006 -,MIH,6294,Men's Ice Hockey
Harvard University,"Allard, Jenny",Aug 2003 -,WSB,2724,Softball
Coastal Carolina University,"Allden, Andrew",Sep 2001 - Aug 2004,MTO,8420,"Men's Track, Outdoor"
Coastal Carolina University,"Allden, Andrew",Sep 2001 - Aug 2004,MCC,2059,Men's Cross Country
University of Louisville,"Allen, Brice",Aug 2008 - Aug 2011,WCC,4819,Women's Cross Country
University of Louisville,"Allen, Brice",Aug 2008 - Aug 2011,MCC,6257,Men's Cross Country
College of the Holy Cross,"Allen, Dan",Feb 1996 - Dec 2003,MFB,25791,Football
University of North Carolina Wilmington,"Allen, Dave",Aug 1977 - Aug 2014,MSW,8844,Men's Swimming and Diving
University of North Carolina Wilmington,"Allen, Dave",Aug 1977 - Sep 2013,WSW,9198,Women's Swimming and Diving
University of Alabama,"Allen, Ed",Aug 2011 -,WVB,27426,Women's Volleyball
The University of Tulsa,"Allen, Ed",Jul 2006 - Feb 2011,WVB,3993,Women's Volleyball
"University of Nebraska, Lincoln","Allen, Francis",Oct 1967 - Oct 2009,MGY,19338,Men's Gymnastics
Howard University,"Allen, Frankie",Jun 2000 - Jul 2005,MBB,9514,Men's Basketball
University of Maryland Eastern Shore,"Allen, Frankie",May 2008 - Apr 2014,MBB,8243,Men's Basketball
University of Arizona,"Allen, Greg",Aug 2003 - Aug 2007,WGO,4264,Women's Golf
Vanderbilt University,"Allen, Greg",Aug 2007 -,WGO,2468,Women's Golf
University of Pennsylvania,"Allen, Jerome",Apr 2010 - Apr 2015,MBB,24305,Men's Basketball
U.S. Military Academy,"Allen, Jimmy",May 2016 -,MBB,43047,Men's Basketball
Fordham University,"Allen, Leslie",Aug 2003 - Aug 2005,WTE,5823,Women's Tennis
Western Illinois University,"Allen, Raquel",Sep 2013 - Jun 2015,WTE,37173,Women's Tennis
George Washington University,"Allen, Scott",Aug 2003 - Sep 2008,MGO,8300,Men's Golf
University of Pennsylvania,"Allen, Scott",Sep 2008 - Sep 2012,MGO,4685,Men's Golf
Seton Hall University,"Allen, Scott W.",Jun 2003 - May 2004,MGO,25710,Men's Golf
Tennessee State University,"Allen, Sharon",Aug 2003 - Jul 2004,WBB,24223,Women's Basketball
Northwestern University,"Allen, Spencer",Jul 2015 -,MBA,40888,Baseball
Binghamton University,"Allen, Stephanie",Sep 2013 -,WLA,33630,Women's Lacrosse
Missouri State University,"Allen, Terry",Jan 2006 - Feb 2015,MFB,651,Football
"Indiana University, Bloomington","Allen, Tom",Jan 2017 -,MFB,45860,Football
University of Southern California,"Allice, Ron",Aug 1994 - Jul 2013,WTO,5112,"Women's Track, Outdoor"
University of Southern California,"Allice, Ron",Aug 1994 - Jul 2013,MTO,8453,"Men's Track, Outdoor"
University of Southern California,"Allice, Ron",Aug 1994 - Jul 2013,MTI,25199,"Men's Track, Indoor"
University of Southern California,"Allice, Ron",Aug 1994 - Jul 2013,WTI,1142,"Women's Track, Indoor"
Bucknell University,"Allison, Anna",Apr 2013 -,WVB,33553,Women's Volleyball
Furman University,"Allison, Doug",Jul 1995 -,MSO,3139,Men's Soccer
University of Central Florida,"Allison, Patricia",Jul 1999 - Aug 2007,WTE,7671,Women's Tennis
University of Tennessee at Chattanooga,"Allison, Rodney",Jan 2003 - Dec 2008,MFB,1436,Football
South Dakota State University,"Allison-Brewer, Nana",Jul 2008 - Feb 2011,WVB,4413,Women's Volleyball
"University of Minnesota, Twin Cities","Allister, Jessica",Aug 2011 - Aug 2017,WSB,27041,Softball
Stanford University,"Allister, Jessica",Aug 2017 -,WSB,47363,Softball
Indiana State University,"Allman, Lindsay",Sep 2016 -,WVB,45965,Women's Volleyball
George Mason University,"Almond, JD",Aug 2003 - Jul 2004,WTE,8608,Women's Tennis
New Jersey Institute of Technology,"Alonso, Al",Oct 2003 -,WTO,19067,"Women's Track, Outdoor"
New Jersey Institute of Technology,"Alonso, Al",Oct 2003 -,MCC,19064,Men's Cross Country
New Jersey Institute of Technology,"Alonso, Al",Oct 2003 -,WCC,19065,Women's Cross Country
New Jersey Institute of Technology,"Alonso, Al",Oct 2003 -,WTI,25950,"Women's Track, Indoor"
New Jersey Institute of Technology,"Alonso, Al",Oct 2003 -,MTO,19066,"Men's Track, Outdoor"
New Jersey Institute of Technology,"Alonso, Al",Oct 2003 -,MTI,25949,"Men's Track, Indoor"
Creighton University,"Altman, Dana",Aug 2003 - May 2010,MBB,6298,Men's Basketball
University of Oregon,"Altman, Dana",Oct 2011 -,MBB,26082,Men's Basketball
"University of California, Santa Barbara","Altman, Danielle",Aug 2004 - Aug 2007,WWP,2286,Women's Water Polo
University of Wisconsin-Madison,"Alvarez, Barry",Aug 1990 - Feb 2006,MFB,22138,Football
University of Cincinnati,"Alvey, Molly",Mar 2012 -,WVB,29765,Women's Volleyball
University of Houston,"Alvey, Molly",Mar 2010 - Jan 2012,WVB,24376,Women's Volleyball
Duquesne University,"Alvine, Al",Feb 2012 -,WSO,31824,Women's Soccer
Mount St. Mary's University,"Alvis, Larry",Aug 2004 - Jun 2010,WSB,3737,Softball
University of Dayton,"Alyanak, Ann",Jun 2004 - Jul 2010,WCC,7397,Women's Cross Country
Harvard University,"Amaker, Tommy",May 2007 -,MBB,6561,Men's Basketball
University of Michigan,"Amaker, Tommy",Apr 2001 - Apr 2007,MBB,7979,Men's Basketball
North Carolina State University,"Amato, Chuck",Jan 2000 - Dec 2006,MFB,5624,Football
Brown University,"Amato, Dave",Aug 1983 - Jul 2013,MWR,6792,Men's Wrestling
Stephen F. Austin State University,"Amato, Tony",May 2010 - Jan 2013,WSO,23828,Women's Soccer
University of Arizona,"Amato, Tony",Feb 2013 -,WSO,32892,Women's Soccer
Vanderbilt University,"Ambrose, Darren",Mar 2015 -,WSO,41067,Women's Soccer
University of Pennsylvania,"Ambrose, Darren",Jul 2000 - Apr 2015,WSO,22139,Women's Soccer
Towson University,"Ambrose, Rob",Jan 2009 -,MFB,6072,Football
Weber State University,"Amicone, Mary Kay",Jul 2013 -,WSB,32466,Softball
"California State University, Fullerton","Ammann, Bob",Jan 2006 - Jan 2014,MSO,8812,Men's Soccer
Nicholls State University,"Amo, A.M.",Aug 2003 - Aug 2004,MCC,8803,Men's Cross Country
Nicholls State University,"Amo, A.M.",Oct 2003 - Jul 2005,WTO,5944,"Women's Track, Outdoor"
Nicholls State University,"Amo, A.M.",Aug 2003 - Aug 2004,WCC,8590,Women's Cross Country
Nicholls State University,"Amo, A.M.",Aug 2003 - Aug 2004,MTO,8012,"Men's Track, Outdoor"
Nicholls State University,"Amo, Agapius",Oct 2003 - Jul 2005,WTI,7012,"Women's Track, Indoor"
Northwestern University,"Amonte-Hiller, Kelly",Oct 2000 -,WLA,5193,Women's Lacrosse
Jacksonville State University,"Amores, Andres",Aug 2015 -,MTE,40321,Men's Tennis
Jacksonville State University,"Amores, Andres",Aug 2015 -,WTE,40322,Women's Tennis
Marquette University,"Amplo, Joe",Mar 2011 -,MLA,31755,Men's Lacrosse
University of Toledo,"Amstutz, Tom",Aug 2003 - Jan 2009,MFB,3206,Football
Murray State University,"Amundson, Kara",Apr 2012 - Jul 2012,WTE,28890,Women's Tennis
Murray State University,"Amundson, Kara",Jul 2012 -,WSB,30862,Softball
Marist College,"Amundson, Lauren",Jun 2015 -,WVB,41602,Women's Volleyball
Mississippi State University,"Anagnost, Tom",Apr 2017 -,WSO,46237,Women's Soccer
University of Miami (Florida),"Anagnost, Tom",Jan 2011 - Jun 2013,WSO,27340,Women's Soccer
Central Michigan University,"Anagnost, Tom",Aug 2008 - Jan 2011,WSO,2162,Women's Soccer
College of Charleston (South Carolina),"Anastopoulo, Angelo",Oct 1991 -,WTE,364,Women's Tennis
Michigan State University,"Anastos, Thomas A.",Apr 2011 - May 2017,MIH,27206,Men's Ice Hockey
Stony Brook University,"Anatol, Ryan",Apr 2011 -,MSO,29059,Men's Soccer
Cornell University,"Andeberhan, Berhane",Mar 2000 - Aug 2006,WSO,5323,Women's Soccer
Old Dominion University,"Anders, Elizabeth",Aug 2003 - Jan 2013,WFH,26148,Field Hockey
Southern Utah University,"Andersen, Gary",Jan 2003 - Jan 2004,MFB,20836,Football
University of Wisconsin-Madison,"Andersen, Gary",Feb 2013 - Jan 2015,MFB,34869,Football
Oregon State University,"Andersen, Gary",Feb 2015 - Nov 2017,MFB,38888,Football
Utah State University,"Andersen, Gary",Jan 2009 - Jan 2013,MFB,3327,Football
"University of South Carolina, Columbia","Anderson , Kalen",Mar 2008 -,WGO,3190,Women's Golf
Southern Illinois University at Carbondale,"Anderson, Audra",Sep 2016 - Sep 2017,MTE,45109,Men's Tennis
Southern Illinois University at Carbondale,"Anderson, Audra",Sep 2007 - Sep 2017,WTE,634,Women's Tennis
"California State University, Northridge","Anderson, Avery",Jul 2011 - Aug 2017,MTO,26529,"Men's Track, Outdoor"
"University of California, Los Angeles","Anderson, Avery",Aug 2017 -,MTO,47293,"Men's Track, Outdoor"
"University of California, Los Angeles","Anderson, Avery",Aug 2017 -,MCC,47294,Men's Cross Country
"University of California, Los Angeles","Anderson, Avery",Aug 2017 -,MTI,47292,"Men's Track, Indoor"
"University of California, Los Angeles","Anderson, Avery",Aug 2017 -,WTO,47296,"Women's Track, Outdoor"
"California State University, Northridge","Anderson, Avery",Jul 2011 - Aug 2017,MTI,26527,"Men's Track, Indoor"
"University of California, Los Angeles","Anderson, Avery",Aug 2017 -,WTI,47295,"Women's Track, Indoor"
"California State University, Northridge","Anderson, Avery",Jul 2011 - Aug 2017,MCC,26531,Men's Cross Country
"University of California, Los Angeles","Anderson, Avery",Aug 2017 -,WCC,47297,Women's Cross Country
"California State University, Northridge","Anderson, Avery",Jul 2011 - Aug 2017,WCC,26530,Women's Cross Country
"California State University, Northridge","Anderson, Avery",Jul 2011 - Aug 2017,WTO,26528,"Women's Track, Outdoor"
"California State University, Northridge","Anderson, Avery",Jul 2011 - Aug 2017,WTI,26526,"Women's Track, Indoor"
Tulane University,"Anderson, Betsy",Aug 2003 - Aug 2006,WSO,806,Women's Soccer
Arkansas State University,"Anderson, Blake",Jan 2014 -,MFB,35235,Football
Utah Valley University,"Anderson, Brent",Mar 2006 - Mar 2017,WSO,4200,Women's Soccer
Duke University,"Anderson, Clar",Aug 1997 - May 2012,MWR,1068,Men's Wrestling
Texas Christian University,"Anderson, Darryl",Jan 2005 -,MTO,6582,"Men's Track, Outdoor"
Texas Christian University,"Anderson, Darryl",Jan 2005 -,WCC,2609,Women's Cross Country
Texas Christian University,"Anderson, Darryl",Jan 2005 -,MCC,5367,Men's Cross Country
Texas Christian University,"Anderson, Darryl",Jan 2005 -,MTI,7885,"Men's Track, Indoor"
Texas Christian University,"Anderson, Darryl",Jan 2005 -,WTO,4611,"Women's Track, Outdoor"
Texas Christian University,"Anderson, Darryl",Jan 2005 -,WTI,6679,"Women's Track, Indoor"
Coppin State University,"Anderson, Donald",Aug 2005 - Aug 2006,WBW,3914,Women's Bowling
Elon University,"Anderson, Elizabeth",Aug 2004 -,WTE,8697,Women's Tennis
Oklahoma State University,"Anderson, Frank",Jul 2003 - Jul 2012,MBA,7869,Baseball
University of Arizona,"Anderson, James",Jul 2012 -,MGO,32028,Men's Golf
Eastern Illinois University,"Anderson, Jason",Aug 2015 -,MBA,44769,Baseball
University of Montana,"Anderson, Jen",Aug 2006 - Jul 2008,WTE,9825,Women's Tennis
"University of Minnesota, Twin Cities","Anderson, John R.",Aug 1982 -,MBA,50973,Baseball
Stetson University,"Anderson, Kelly",Sep 2015 - Aug 2016,WTE,45717,Women's Tennis
University of South Florida,"Anderson, Kelly",Mar 2015 - Jul 2015,WTE,39015,Women's Tennis
Temple University,"Anderson, Ken",Sep 1997 - Oct 2006,WGY,5628,Women's Gymnastics
Columbia University-Barnard College,"Anderson, Kevin",Sep 2009 -,MSO,19505,Men's Soccer
"University of Missouri, Columbia","Anderson, Kim",May 2014 - Apr 2017,MBB,37129,Men's Basketball
Hofstra University,"Anderson, Larissa",Jun 2014 - Jul 2018,WSB,37550,Softball
University of Iowa,"Anderson, Layne",Aug 2014 - Sep 2016,MCC,38120,Men's Cross Country
University of Iowa,"Anderson, Layne",Sep 2003 - Sep 2016,WCC,9199,Women's Cross Country
University of Pennsylvania,"Anderson, Mark",Sep 2008 -,WGO,2206,Women's Golf
Youngstown State University,"Anderson, Matt",Aug 2003 - Jun 2017,WSW,7734,Women's Swimming and Diving
Florida Atlantic University,"Anderson, Matt",Oct 2003 - Jun 2004,MGO,778,Men's Golf
University of Michigan,"Anderson, Matthew",Nov 2002 - May 2014,WWP,26137,Women's Water Polo
"University of Hawaii, Manoa","Anderson, Mike",Aug 2001 - Aug 2005,MSW,2452,Men's Swimming and Diving
"University of Nebraska, Lincoln","Anderson, Mike",Jul 2002 - Jun 2011,MBA,9203,Baseball
"University of Missouri, Columbia","Anderson, Mike",May 2006 - Apr 2011,MBB,5427,Men's Basketball
